sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AB0137-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0137-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0138-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0138-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0139-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0139-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0140-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0140-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0142-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0142-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0181-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0181-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0182-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0182-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0183-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0183-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0184-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0184-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0185-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0185-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
